experiment_id,session_id,device_id,event_id,type,device_time,logged_time,time,confidence_interval,delay,filter_id,eye,gaze_x,gaze_y,gaze_z,eye_cam_x,eye_cam_y,eye_cam_z,angle_x,angle_y,raw_x,raw_y,pupil_measure1,pupil_measure1_type,pupil_measure2,pupil_measure2_type,ppd_x,ppd_y,velocity_x,velocity_y,velocity_xy,status
1,1,0,2699,51,9686.275581,61.11023000000023,60.99760720000086,-1.0,0.1126228,0,22,8.0,83.0,0.0,0.72864026,2.0841832,53.650074,-2.247995,1.6666468,0.32048908,0.47132647,46.8002,74,3.3057342,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,2700,51,9686.283447,61.150013400001626,61.00547320000078,-1.0,0.1445402,0,22,5.0,76.0,0.0,0.72864026,2.0841832,53.650074,-2.2475886,1.6703483,0.32096705,0.4711526,46.91431,74,3.3130708,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,2701,51,9686.291519,61.150013400001626,61.01354520000132,-1.0,0.1364682,0,22,-2.0,75.0,0.0,0.72864026,2.0841832,53.650074,-2.2503135,1.6722326,0.3206701,0.47162518,47.66863,74,3.3668284,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,4261,51,9692.775652,67.61779730000126,67.49767820000125,-1.0,0.1201191,0,22,-144.0,296.0,0.0,0.6382687,2.115092,53.957775,-2.3528302,1.5919795,0.29884464,0.44811428,45.36076,74,3.2218435,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,4973,51,9695.767594,70.60293030000139,70.48962020000181,-1.0,0.1133101,0,22,39.0,-2.0,0.0,0.67896026,2.0844939,53.3609,-2.21078,1.6945686,0.32904944,0.48248595,47.647346,74,3.340698,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,5566,51,9698.255533000001,73.13603430000148,72.97755920000236,-1.0,0.1584751,0,22,-39.0,43.0,0.0,0.77854854,2.0360813,53.215973,-2.2542717,1.6888272,0.3250248,0.4699651,46.655476,74,3.253677,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,5567,51,9698.358470000001,73.22782110000117,73.08049620000202,-1.0,0.1473249,0,22,-24.0,51.0,0.0,0.77854854,2.0360813,53.215973,-2.2491088,1.6821653,0.32616204,0.4676228,45.683147,74,3.1843965,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,5568,51,9698.367622,73.22782110000117,73.08964820000074,-1.0,0.1381729,0,22,-42.0,70.0,0.0,0.77854854,2.0360813,53.215973,-2.2612088,1.6767513,0.32399338,0.4665394,47.778996,74,3.3319795,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,6791,51,9703.443491,78.2992901000016,78.16551720000098,-1.0,0.1337729,0,21,144.0,1.0,0.0,0.5330787,-6.7250056,69.839935,-2.3693624,1.3252167,0.3475189,0.5710876,49.416615,74,4.6932425,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,7051,51,9704.547434,79.41126620000068,79.26946020000105,-1.0,0.141806,0,22,4.0,-99.0,0.0,0.67566854,2.1283746,53.551517,-2.1993976,1.745736,0.33307946,0.48714054,48.183517,74,3.3909643,77,0.0,0.0,0.0,0.0,0.0,0
