experiment_id,session_id,device_id,event_id,type,device_time,logged_time,time,confidence_interval,delay,filter_id,msg_offset,category,text
1,1,0,81,-105,49.179018100001485,49.17922720000024,49.179018100001485,0.0,0.00020909999,0,0.0,b'',"b'ScreenSize=[2560, 1080]'"
1,1,0,82,-105,49.17932950000068,49.179484900001626,49.17932950000068,0.0,0.0001554,0,0.0,b'',b'ScreenFrame=60.0'
1,1,0,83,-105,49.17957370000113,49.17972320000081,49.17957370000113,0.0,0.0001495,0,0.0,b'',b'EyeFrame=60.0'
1,1,0,84,-105,49.33944479999991,49.33964930000002,49.33944479999991,0.0,0.0002045,0,0.0,b'',b'TRIAL_START'
1,1,0,85,-105,49.33974400000079,49.3398513000011,49.33974400000079,0.0,0.0001073,0,0.0,b'',b'FIXATION_START'
1,1,0,86,-105,52.41006490000109,52.41110210000079,52.41006490000109,0.0,0.0010372,0,0.0,b'',b'FIXATION_STOP'
1,1,0,87,-105,52.426718300001085,52.42692470000111,52.426718300001085,0.0,0.0002064,0,0.0,b'',b'IMAGE_START :52.42666'
1,1,0,88,-105,52.42701269999998,52.427189400001225,52.42701269999998,0.0,0.0001767,0,0.0,b'',b'img_2.jpg'
1,1,0,2313,-105,59.47634960000141,59.476584100000764,59.47634960000141,0.0,0.0002345,0,0.0,b'',b'IMAGE_STOP :59.47631'
1,1,0,2314,-105,59.47711490000074,59.477258200000506,59.47711490000074,0.0,0.0001433,0,0.0,b'',b'REST_START'
1,1,0,2781,-105,61.47656350000034,61.476744400000825,61.47656350000034,0.0,0.0001809,0,0.0,b'',b'REST_STOP'
1,1,0,2782,-105,61.47730870000123,61.47744650000095,61.47730870000123,0.0,0.0001378,0,0.0,b'',b'TRIAL_STOP'
1,1,0,2793,-105,61.51665630000025,61.516878800000995,61.51665630000025,0.0,0.0002225,0,0.0,b'',b'TRIAL_START'
1,1,0,2794,-105,61.51697340000101,61.51714780000111,61.51697340000101,0.0,0.0001744,0,0.0,b'',b'FIXATION_START'
1,1,0,3505,-105,64.49318110000058,64.4934086000012,64.49318110000058,0.0,0.0002275,0,0.0,b'',b'FIXATION_STOP'
1,1,0,3517,-105,64.50984270000117,64.51003149999997,64.50984270000117,0.0,0.0001888,0,0.0,b'',b'IMAGE_START :64.5098'
1,1,0,3518,-105,64.51014150000083,64.51028030000089,64.51014150000083,0.0,0.0001388,0,0.0,b'',b'img_1.jpg'
1,1,0,5189,-105,71.49275230000057,71.49291860000085,71.49275230000057,0.0,0.0001663,0,0.0,b'',b'IMAGE_STOP :71.4927'
