experiment_id,session_id,device_id,event_id,type,device_time,logged_time,time,confidence_interval,delay,filter_id,log_level,text
1,1,0,40,-104,24.582276200000706,24.582281599999988,24.582276200000706,0.0,5.3999993e-06,0,10,b'Mouse: Streaming Events are Enabled.'
1,1,0,41,-104,24.582290000000285,24.58229290000054,24.582290000000285,0.0,2.9000003e-06,0,10,"b'ioServer Event Listener: [36, 37, 35, 32, 33, 34]'"
1,1,0,42,-104,24.5822973000013,24.582299800000328,24.5822973000013,0.0,2.499999e-06,0,10,"b'Mouse Event Listener: [36, 37, 35, 32, 33, 34]'"
1,1,0,43,-104,24.582304000001386,24.58230640000147,24.582304000001386,0.0,2.4e-06,0,10,b'Adding ioServer and DataStore event listeners......'
1,1,0,44,-104,24.582310800000414,24.582313100001556,24.582310800000414,0.0,2.3000011e-06,0,10,"b'Added Device DS Listener: Mouse, [36, 37, 35, 32, 33, 34]'"
1,1,0,45,-104,24.5823186000016,24.58232560000033,24.5823186000016,0.0,6.9999987e-06,0,10,b'Handling Device: eyetracker.hw.pupil_labs.pupil_core.EyeTracker'
1,1,0,46,-104,24.582336400000713,24.58234260000063,24.582336400000713,0.0,6.2e-06,0,10,b'Loading Device Defaults file: EyeTracker'
1,1,0,47,-104,24.582353000001604,24.582358500001646,24.582353000001604,0.0,5.5e-06,0,10,b'Searching Device Path: EyeTracker'
1,1,0,48,-104,24.58236820000093,24.58237310000004,24.58236820000093,0.0,4.899999e-06,0,10,b'Creating Device: EyeTracker'
1,1,0,49,-104,24.582382000000507,24.58238700000038,24.582382000000507,0.0,5e-06,0,10,b'Device Instance Created: EyeTracker'
1,1,0,50,-104,24.582405400000425,24.582411200000934,24.582405400000425,0.0,5.8000005e-06,0,10,b'EyeTracker timer period: 0.005'
1,1,0,51,-104,24.582420200000342,24.58242590000009,24.582420200000342,0.0,5.6999997e-06,0,10,"b'EyeTracker Monitoring Events: [51, 52]'"
1,1,0,52,-104,24.582434800000556,24.5824403000006,24.582434800000556,0.0,5.5e-06,0,10,b'EyeTracker: Streaming Events are Enabled.'
1,1,0,53,-104,24.582449600000473,24.582455500001743,24.582449600000473,0.0,5.9000013e-06,0,10,"b'ioServer Event Listener: [51, 52]'"
1,1,0,54,-104,24.582464800001617,24.58247180000035,24.582464800001617,0.0,6.9999987e-06,0,10,"b'EyeTracker Event Listener: [51, 52]'"
1,1,0,55,-104,24.582480200000646,24.5824831000009,24.582480200000646,0.0,2.9000003e-06,0,10,b'Adding ioServer and DataStore event listeners......'
1,1,0,56,-104,24.582487600000604,24.58249000000069,24.582487600000604,0.0,2.4e-06,0,10,"b'Added Device DS Listener: EyeTracker, [51, 52]'"
1,1,0,57,-104,24.582493900001282,24.582496300001367,24.582493900001282,0.0,2.4e-06,0,10,"b""Receiving diagram's on: 9034"""
1,1,0,58,-104,24.58250020000014,24.582502500001283,24.58250020000014,0.0,2.3000011e-06,0,10,"b""Registered Win: {'handle': 3607408, 'pos': array([0, 0]), 'size': array([2560, 1080]), 'units': 'pix', 'useRetina': False, 'moni"""
1,1,0,59,-104,24.582506500000818,24.582508900000903,24.582506500000818,0.0,2.4e-06,0,10,b'Current Experiment ID: 1'
1,1,0,60,-104,24.582513100000142,24.58251560000099,24.582513100000142,0.0,2.5000008e-06,0,10,b'Current Session ID: 1'
