 ** Video Info ** 
Video File:
	Name:	poisson.mp4
	Frame Count:	379
	Width:	1280
	Height:	720
	FPS:	27.0
Video Display:
	Window Resolution:	[2560 1080]
	Window Fullscreen:	True
	Drawn Size:	[1280.  720.]

 ** Column Definitions ** 
frame_num:	The frame index being displayed. Range is 1 to video frame count.
frame_flip_time:	The time returned by win.flip() for the current frame_num.
playback_duration:	current frame_flip_time minus the first video frame_flip_time.

 ** Per Frame Video Playback Data ** 
frame_num	frame_flip_time	playback_duration
1	84.808146	0.000000	
3	84.825156	0.017010	
4	84.858195	0.050049	
5	84.908494	0.100348	
6	84.941552	0.133406	
7	84.975202	0.167056	
8	85.008211	0.200065	
9	85.041826	0.233680	
10	85.091820	0.283674	
11	85.124916	0.316770	
12	85.175193	0.367047	
13	85.208090	0.399944	
14	85.241726	0.433580	
15	85.275202	0.467056	
16	85.325249	0.517103	
17	85.358228	0.550082	
18	85.391438	0.583292	
19	85.425200	0.617054	
20	85.458437	0.650291	
21	85.508536	0.700390	
22	85.541536	0.733390	
23	85.575186	0.767040	
24	85.608489	0.800343	
25	85.641456	0.833310	
26	85.691524	0.883378	
27	85.725160	0.917014	
28	85.758542	0.950396	
29	85.791560	0.983414	
30	85.841833	1.033687	
31	85.874753	1.066607	
32	85.908342	1.100196	
33	85.941410	1.133264	
34	85.974843	1.166697	
35	86.025109	1.216963	
36	86.058228	1.250082	
37	86.091831	1.283685	
38	86.125205	1.317059	
39	86.174826	1.366680	
40	86.208090	1.399944	
41	86.241521	1.433375	
42	86.275174	1.467028	
43	86.308327	1.500181	
44	86.358564	1.550418	
45	86.391411	1.583265	
46	86.424857	1.616711	
47	86.458583	1.650437	
48	86.491825	1.683679	
49	86.541760	1.733614	
50	86.574896	1.766750	
51	86.608507	1.800361	
52	86.641552	1.833406	
53	86.675142	1.866996	
54	86.725185	1.917039	
55	86.758218	1.950072	
56	86.791512	1.983366	
57	86.825194	2.017048	
58	86.874750	2.066604	
59	86.908272	2.100126	
60	86.941499	2.133353	
61	86.974831	2.166685	
62	87.008413	2.200267	
63	87.058494	2.250348	
64	87.091639	2.283493	
65	87.125182	2.317036	
66	87.158212	2.350066	
67	87.191791	2.383645	
68	87.241702	2.433556	
69	87.274905	2.466759	
70	87.308478	2.500332	
71	87.408068	2.599922	
73	87.424884	2.616738	
74	87.458322	2.650176	
75	87.491618	2.683472	
76	87.525248	2.717102	
77	87.575210	2.767064	
78	87.608348	2.800202	
79	87.641865	2.833719	
80	87.675061	2.866915	
81	87.725071	2.916925	
82	87.758211	2.950065	
83	87.808191	3.000045	
84	87.841761	3.033616	
85	87.874689	3.066543	
86	87.908139	3.099993	
87	87.941634	3.133488	
88	87.991773	3.183627	
89	88.025026	3.216880	
90	88.058297	3.250151	
91	88.091554	3.283408	
92	88.125226	3.317080	
93	88.175142	3.366996	
94	88.208053	3.399907	
95	88.241854	3.433708	
96	88.275151	3.467005	
97	88.325014	3.516868	
98	88.358564	3.550418	
99	88.391373	3.583227	
100	88.425150	3.617004	
101	88.458144	3.649998	
102	88.508244	3.700098	
103	88.541376	3.733230	
104	88.574685	3.766539	
105	88.608061	3.799915	
106	88.641362	3.833216	
107	88.691380	3.883234	
108	88.724738	3.916592	
109	88.758088	3.949942	
110	88.791384	3.983238	
111	88.841373	4.033227	
112	88.874715	4.066569	
113	88.908035	4.099889	
114	88.941359	4.133213	
115	88.974729	4.166583	
116	89.024723	4.216577	
117	89.058042	4.249896	
118	89.091354	4.283208	
119	89.124688	4.316542	
120	89.158048	4.349902	
121	89.208030	4.399884	
122	89.241353	4.433207	
123	89.274690	4.466544	
124	89.308048	4.499902	
125	89.341370	4.533224	
126	89.391348	4.583202	
127	89.424711	4.616565	
128	89.458034	4.649889	
129	89.491377	4.683231	
130	89.541823	4.733677	
131	89.575092	4.766946	
132	89.608113	4.799967	
133	89.641747	4.833601	
134	89.675025	4.866879	
135	89.724816	4.916670	
136	89.758397	4.950251	
137	89.791653	4.983507	
138	89.825232	5.017086	
139	89.858385	5.050239	
140	89.908186	5.100040	
141	89.941627	5.133481	
142	89.975146	5.167000	
143	90.008456	5.200310	
144	90.058233	5.250087	
145	90.091455	5.283309	
146	90.125064	5.316918	
147	90.158107	5.349961	
148	90.191648	5.383502	
149	90.241736	5.433590	
150	90.275091	5.466945	
151	90.325046	5.516900	
152	90.358448	5.550302	
153	90.391335	5.583189	
154	90.424787	5.616641	
155	90.458210	5.650064	
156	90.508095	5.699949	
157	90.541654	5.733508	
158	90.574786	5.766640	
159	90.608143	5.799997	
160	90.658331	5.850185	
161	90.691719	5.883573	
162	90.725107	5.916961	
163	90.758212	5.950066	
164	90.791761	5.983615	
165	90.841552	6.033406	
166	90.874673	6.066527	
167	90.908374	6.100228	
168	90.941590	6.133444	
169	90.975246	6.167100	
170	91.025055	6.216909	
171	91.058335	6.250189	
172	91.091751	6.283605	
173	91.124750	6.316604	
174	91.175068	6.366922	
175	91.207958	6.399812	
176	91.241688	6.433542	
177	91.275050	6.466904	
178	91.308223	6.500077	
179	91.358409	6.550263	
180	91.391321	6.583175	
181	91.424784	6.616638	
182	91.458352	6.650206	
183	91.491424	6.683278	
184	91.541811	6.733665	
185	91.575062	6.766916	
186	91.608093	6.799947	
187	91.641701	6.833555	
188	91.691617	6.883471	
189	91.724767	6.916621	
190	91.758404	6.950258	
191	91.791437	6.983291	
192	91.825065	7.016919	
193	91.874651	7.066505	
194	91.908231	7.100085	
195	91.941773	7.133627	
196	91.975008	7.166862	
197	92.008078	7.199932	
198	92.058476	7.250330	
199	92.091748	7.283602	
200	92.124702	7.316556	
201	92.158355	7.350209	
202	92.207998	7.399852	
203	92.241399	7.433253	
204	92.274934	7.466788	
205	92.308466	7.500320	
206	92.341704	7.533558	
207	92.391300	7.583155	
208	92.425216	7.617071	
209	92.458393	7.650247	
210	92.491680	7.683534	
211	92.524944	7.716798	
212	92.574826	7.766680	
213	92.608389	7.800243	
214	92.641658	7.833512	
215	92.674765	7.866619	
216	92.725117	7.916971	
217	92.758344	7.950198	
218	92.791704	7.983558	
219	92.841666	8.033520	
220	92.874614	8.066468	
221	92.908412	8.100266	
222	92.941700	8.133554	
223	92.991704	8.183558	
224	93.024707	8.216561	
225	93.058343	8.250197	
