 ** Video Info ** 
Video File:
	Name:	conduite.mp4
	Frame Count:	308
	Width:	1366
	Height:	720
	FPS:	23.976023976023978
Video Display:
	Window Resolution:	[2560 1080]
	Window Fullscreen:	True
	Drawn Size:	[1366.  720.]

 ** Column Definitions ** 
frame_num:	The frame index being displayed. Range is 1 to video frame count.
frame_flip_time:	The time returned by win.flip() for the current frame_num.
playback_duration:	current frame_flip_time minus the first video frame_flip_time.

 ** Per Frame Video Playback Data ** 
frame_num	frame_flip_time	playback_duration
201	72.269958	8.328160	
202	72.303148	8.361350	
203	72.353096	8.411298	
204	72.386459	8.444661	
205	72.419584	8.477786	
206	72.469702	8.527904	
207	72.503341	8.561543	
208	72.552961	8.611163	
209	72.603047	8.661249	
210	72.636736	8.694939	
211	72.686617	8.744819	
212	72.719795	8.777997	
213	72.753350	8.811552	
214	72.803323	8.861526	
215	72.836493	8.894696	
216	72.886399	8.944601	
217	72.919963	8.978165	
218	72.969674	9.027877	
219	73.003187	9.061389	
220	73.052940	9.111142	
221	73.103133	9.161336	
222	73.136787	9.194989	
223	73.169973	9.228175	
224	73.219699	9.277902	
225	73.253379	9.311581	
226	73.303266	9.361468	
227	73.336546	9.394748	
228	73.386391	9.444593	
229	73.419636	9.477838	
230	73.469940	9.528143	
231	73.519954	9.578156	
232	73.552934	9.611136	
233	73.603153	9.661355	
234	73.636695	9.694897	
235	73.669670	9.727872	
236	73.719694	9.777897	
237	73.753296	9.811498	
238	73.803311	9.861514	
239	73.836338	9.894540	
240	73.888841	9.947044	
241	73.936629	9.994831	
242	73.969681	10.027883	
243	74.020070	10.078273	
244	74.052910	10.111113	
245	74.086320	10.144523	
246	74.136677	10.194879	
247	74.169976	10.228179	
248	74.219681	10.277883	
249	74.253376	10.311578	
250	74.303086	10.361289	
251	74.336698	10.394900	
252	74.386654	10.444856	
253	74.436604	10.494806	
254	74.469691	10.527893	
255	74.519653	10.577855	
256	74.552909	10.611111	
257	74.602981	10.661183	
258	74.636227	10.694429	
259	74.669985	10.728187	
260	74.719818	10.778020	
261	74.752934	10.811136	
262	74.803279	10.861481	
263	74.853262	10.911464	
264	74.886433	10.944635	
265	74.936590	10.994792	
266	74.969647	11.027849	
267	75.003118	11.061320	
268	75.052897	11.111099	
269	75.086654	11.144856	
270	75.136466	11.194669	
271	75.186616	11.244819	
272	75.219931	11.278133	
273	75.269644	11.327847	
274	75.303234	11.361437	
275	75.336303	11.394506	
276	75.386646	11.444848	
277	75.419597	11.477799	
278	75.469623	11.527826	
279	75.503260	11.561462	
280	75.552894	11.611096	
281	75.586488	11.644690	
282	75.636706	11.694909	
283	75.669942	11.728145	
284	75.719815	11.778017	
285	75.769763	11.827965	
286	75.803295	11.861497	
287	75.853285	11.911487	
288	75.886312	11.944514	
289	75.919960	11.978163	
290	75.969924	12.028127	
291	76.003255	12.061458	
292	76.052919	12.111121	
293	76.219922	12.278124	
297	76.269811	12.328013	
298	76.303375	12.361577	
299	76.336626	12.394829	
300	76.386567	12.444769	
